,Match,season_x,Winner,assists_Home,attempted_passes_Home,big_chances_created_Home,big_chances_missed_Home,clean_sheets_Home,clearances_blocks_interceptions_Home,completed_passes_Home,creativity_Home,dribbles_Home,ea_index_Home,element_Home,errors_leading_to_goal_Home,errors_leading_to_goal_attempt_Home,fouls_Home,goals_conceded_Home,goals_scored_Home,ict_index_Home,influence_Home,key_passes_Home,open_play_crosses_Home,own_goals_Home,penalties_conceded_Home,penalties_missed_Home,penalties_saved_Home,tackles_Home,target_missed_Home,threat_Home,expected_assists_Home,expected_goal_involvements_Home,expected_goals_Home,expected_goals_conceded_Home,assists_Away,attempted_passes_Away,big_chances_created_Away,big_chances_missed_Away,clean_sheets_Away,clearances_blocks_interceptions_Away,completed_passes_Away,creativity_Away,dribbles_Away,ea_index_Away,element_Away,errors_leading_to_goal_Away,errors_leading_to_goal_attempt_Away,fouls_Away,goals_conceded_Away,goals_scored_Away,ict_index_Away,influence_Away,key_passes_Away,open_play_crosses_Away,own_goals_Away,penalties_conceded_Away,penalties_missed_Away,penalties_saved_Away,tackles_Away,target_missed_Away,threat_Away,expected_assists_Away,expected_goal_involvements_Away,expected_goals_Away,expected_goals_conceded_Away
210,Brentford-vs-Arsenal,2022-23,A,0,302.4342105263158,0.039473684210526314,0.11842105263157894,0,17.960526315789473,212.8684210526316,93.6,0.13157894736842105,0.0,6371,0.05263157894736842,0.09210526315789473,1.6447368421052633,33,0,31.900000000000002,145.6,0.4342105263157895,0.013157894736842105,0,0.05263157894736842,0,0,1.0921052631578947,0.4078947368421053,79.0,0.0,0.0,0.0,0.0,3,314.9298872180451,0.18609022556390975,0.33458646616541354,11,5.251315789473685,241.5,175.6,1.4582706766917293,0.0,2564,0.039473684210526314,0.09210526315789473,2.4674812030075186,0,3,65.3,291.8,1.868984962406015,0.162593984962406,0,0.039473684210526314,0,0,2.0907894736842105,1.2646616541353384,186.0,0.0,0.0,0.0,0.0
211,Brentford-vs-Aston Villa,2021-22,H,1,321.0526315789474,0.02631578947368421,0.07894736842105263,0,8.921052631578947,223.94736842105263,94.8,0.07894736842105263,0.0,9941,0.02631578947368421,0.07894736842105263,1.1578947368421053,11,2,42.5,240.20000000000002,0.23684210526315788,0.0,0,0.02631578947368421,0,0,0.6578947368421053,0.13157894736842105,92.0,0.0,0.0,2.0,0.0,1,303.9578410311493,0.2894736842105263,0.14473684210526316,0,4.661385606874329,218.218850698174,204.6,1.2776584317937703,0.0,7330,0.0,0.05263157894736842,1.4250805585392052,22,1,56.4,167.6,1.3361976369495165,0.5789473684210527,0,0.0,0,0,1.2322771213748658,0.6519871106337272,193.0,0.0,0.0,1.0,0.0
212,Brentford-vs-Aston Villa,2022-23,D,1,350.4342105263158,0.039473684210526314,0.11842105263157894,2,17.960526315789473,245.8684210526316,146.7,0.13157894736842105,0.0,10372,0.05263157894736842,0.09210526315789473,1.6447368421052633,11,1,46.8,171.8,0.4342105263157895,0.013157894736842105,0,0.05263157894736842,0,0,1.0921052631578947,0.4078947368421053,149.0,0.9400000000000001,3.68,2.74,21.04,1,354.4736842105263,0.11842105263157894,0.02631578947368421,0,7.460526315789474,249.55263157894737,172.4,0.7631578947368421,0.0,11034,0.0,0.05263157894736842,1.0657894736842106,11,1,45.1,195.8,0.631578947368421,0.513157894736842,0,0.02631578947368421,0,0,1.118421052631579,0.19736842105263158,81.0,1.66,3.57,1.9100000000000001,30.25
213,Brentford-vs-Bournemouth,2022-23,H,1,342.4342105263158,0.039473684210526314,0.11842105263157894,11,17.960526315789473,240.3684210526316,88.3,0.13157894736842105,0.0,9620,0.05263157894736842,0.09210526315789473,1.6447368421052633,0,2,40.4,212.4,0.4342105263157895,0.013157894736842105,0,0.05263157894736842,0,0,1.0921052631578947,0.4078947368421053,101.0,0.38739999999999997,1.8563999999999998,1.469,5.1998,0,315.6367276887872,0.33428680396643784,0.16590389016018306,0,9.579138062547674,228.47654462242562,89.1,2.5106788710907706,0.0,8472,0.013157894736842105,0.05263157894736842,2.4660564454614797,22,0,30.6,151.8,2.072654462242563,0.6973684210526316,0,0.06578947368421052,0,0,2.1895499618611747,1.0528222730739893,65.0,0.51406,0.98676,0.4727,16.1601
214,Brentford-vs-Brighton,2021-22,A,0,273.0526315789474,0.02631578947368421,0.07894736842105263,3,8.921052631578947,190.94736842105263,95.6,0.07894736842105263,0.0,6105,0.02631578947368421,0.07894736842105263,1.1578947368421053,11,0,27.7,123.6,0.23684210526315788,0.0,0,0.02631578947368421,0,0,0.6578947368421053,0.13157894736842105,58.0,0.0,0.0,0.0,0.0,1,364.67105263157896,0.2894736842105263,0.34210526315789475,10,23.43421052631579,257.35526315789474,84.2,2.1447368421052633,0.0,7175,0.07894736842105263,0.18421052631578946,3.1447368421052633,0,1,31.1,156.8,1.868421052631579,0.5657894736842105,0,0.02631578947368421,0,0,2.1842105263157894,1.381578947368421,70.0,0.0,0.0,1.0,0.0
215,Brentford-vs-Brighton,2022-23,H,1,318.4342105263158,0.039473684210526314,0.11842105263157894,11,17.960526315789473,223.8684210526316,56.8,0.13157894736842105,0.0,7636,0.05263157894736842,0.09210526315789473,1.6447368421052633,0,2,42.8,262.4,0.4342105263157895,0.013157894736842105,0,0.05263157894736842,0,0,1.0921052631578947,0.4078947368421053,107.0,0.0,0.0,0.0,0.0,0,292.4605263157895,0.13157894736842105,0.2894736842105263,0,10.355263157894736,209.14473684210526,307.1,0.9078947368421053,0.0,6783,0.0,0.05263157894736842,1.486842105263158,22,0,77.9,169.6,1.1842105263157894,0.19736842105263158,0,0.0,0,0,0.9210526315789473,0.6710526315789473,303.0,0.0,0.0,0.0,0.0
216,Brentford-vs-Burnley,2021-22,H,1,376.6842105263158,0.39473684210526316,0.14473684210526316,11,10.144736842105262,269.2105263157895,131.6,0.8026315789473685,0.0,10640,0.02631578947368421,0.07894736842105263,1.605263157894737,0,2,55.3,232.0,2.9342105263157894,0.5394736842105263,0,0.02631578947368421,0,0,1.3552631578947367,0.9473684210526315,190.0,0.0,0.0,2.0,0.0,0,407.10501714244634,0.533573806881243,0.3509112681815526,1,44.77690330581854,289.75113122171945,66.8,3.9208627840411236,0.0,7868,0.0936532507739938,0.22368421052631576,9.277805362462761,22,0,24.8,107.0,5.133053916700741,2.470208540218471,0,0.17260061919504643,0,0,7.665859346564996,2.7921899643670773,74.0,0.0,0.0,0.0,0.0
217,Brentford-vs-Chelsea,2021-22,A,0,281.0526315789474,0.02631578947368421,0.07894736842105263,0,8.921052631578947,196.44736842105263,125.2,0.07894736842105263,0.0,6719,0.02631578947368421,0.07894736842105263,1.1578947368421053,11,0,54.7,126.2,0.23684210526315788,0.0,0,0.02631578947368421,0,0,0.6578947368421053,0.13157894736842105,295.0,0.0,0.0,0.0,0.0,0,308.7312785388128,0.7148521989906272,0.6995313626532084,11,13.080448486865214,230.70391178156137,81.8,5.905163329820864,0.0,6441,0.04001441961067051,0.18475126171593365,4.153083578281848,0,1,41.7,270.6,4.595127835394599,1.3048915756197659,0,0.0,0,0,2.477374151923539,3.194304253785148,66.0,0.0,0.0,1.0,0.0
218,Brentford-vs-Chelsea,2022-23,D,0,318.4342105263158,0.039473684210526314,0.11842105263157894,10,17.960526315789473,223.8684210526316,112.2,0.13157894736842105,0.0,7636,0.05263157894736842,0.09210526315789473,1.6447368421052633,0,0,45.3,186.2,0.4342105263157895,0.013157894736842105,0,0.05263157894736842,0,0,1.0921052631578947,0.4078947368421053,154.0,0.0,0.0,0.0,0.0,0,319.29099513800304,0.6075647495979146,0.8715961399811436,11,6.56324200913242,232.39217089087313,225.0,5.64301758083301,0.0,7056,0.0136986301369863,0.04001441961067051,2.8939742665409574,0,0,60.4,194.6,4.768204758471521,1.0417336808829238,0,0.02631578947368421,0,0,1.8680624110328508,2.3289196384005324,181.0,0.0,0.0,0.0,0.0
219,Brentford-vs-Crystal Palace,2021-22,D,0,376.6842105263158,0.39473684210526316,0.14473684210526316,11,10.144736842105262,269.2105263157895,112.8,0.8026315789473685,0.0,10640,0.02631578947368421,0.07894736842105263,1.605263157894737,0,0,42.8,181.2,2.9342105263157894,0.5394736842105263,0,0.02631578947368421,0,0,1.3552631578947367,0.9473684210526315,141.0,0.0,0.0,0.0,0.0,0,381.6524329692155,0.6000496524329691,0.8820754716981132,11,28.345332671300895,276.78748758689176,115.3,8.411618669314796,0.0,8857,0.1355511420059583,0.12413108242303872,10.13480635551142,0,0,35.3,147.2,5.116186693147964,1.8584905660377358,0,0.013157894736842105,0,0,7.471449851042701,3.4823733862959285,90.0,0.0,0.0,0.0,0.0
